park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
cordell-hull-birthplace-state-park,13,Cordell Hull Birthplace State Park,cordell-hull-birthplace-state-park,,,54.63,,,TN,36.578763,-85.185515,polygon_centroid,true,https://tnstateparks.com/parks/cordell-hull-birthplace-state-park,,,,,Tennessee state park. About 55 acres. Access: public.,,,Beautiful Wood-nymph,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
cove-lake-state-park,14,Cove Lake State Park,cove-lake-state-park,,,637.48,,,TN,36.308107,-84.215791,polygon_centroid,true,https://tnstateparks.com/parks/cove-lake-state-park,,,,,Tennessee state park. About 637 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
cumberland-mountain-state-park,16,Cumberland Mountain State Park,cumberland-mountain-state-park,,,1513.10,,,TN,35.907530,-85.001783,polygon_centroid,true,https://tnstateparks.com/parks/cumberland-mountain-state-park,,,,,Tennessee state park. About 1513 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
cummins-falls-state-park,23,Cummins Falls State Park,cummins-falls-state-park,,,283.56,,,TN,36.252092,-85.564583,polygon_centroid,true,https://tnstateparks.com/parks/cummins-falls-state-park,,,,,Tennessee state park. About 284 acres. Access: public.,northern maidenhair fern,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
david-crockett-birthplace-state-park,25,David Crockett Birthplace State Park,david-crockett-birthplace-state-park,,,97.58,,,TN,36.207572,-82.657836,polygon_centroid,true,https://tnstateparks.com/parks/david-crockett-birthplace-state-park,,,,,Tennessee state park. About 98 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
david-crockett-state-park,24,David Crockett State Park,david-crockett-state-park,,,1298.37,,,TN,35.257493,-87.359752,polygon_centroid,true,https://tnstateparks.com/parks/david-crockett-state-park,,,,,Tennessee state park. About 1298 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
devil-s-backbone-state-park,111,Devil's Backbone State Park,devil-s-backbone-state-park,,,1461.23,,,TN,35.602386,-87.399203,polygon_centroid,true,https://tnstateparks.com/parks/devil-s-backbone-state-park,,,,,Tennessee state park. About 1461 acres. Access: public.,,,Arrow-shaped Micrathena,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
dunbar-cave-state-park,26,Dunbar Cave State Park,dunbar-cave-state-park,,,144.06,,,TN,36.555196,-87.304568,polygon_centroid,true,https://tnstateparks.com/parks/dunbar-cave-state-park,,,,,Tennessee state park. About 144 acres. Access: public.,,,Northern Zigzag Salamander | Cloudless Sulphur | Northern Slimy Salamander | Gray Ratsnake, |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
edgar-evins-state-park,27,Edgar Evins State Park,edgar-evins-state-park,,,6310.98,,,TN,36.042652,-85.863952,polygon_centroid,true,https://tnstateparks.com/parks/edgar-evins-state-park,,,,,Tennessee state park. About 6311 acres. Access: public.,broad beech fern,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
fall-creek-falls-state-park,28,Fall Creek Falls State Park,fall-creek-falls-state-park,,,22789.52,,,TN,35.684924,-85.367733,polygon_centroid,true,https://tnstateparks.com/parks/fall-creek-falls-state-park,,,,,Tennessee state park. About 22790 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
